時間戳記,你的性別,你的年齡(EX. 20),你的MBTI (EX. ENFP),希望可以一週見幾次面？,假設你的好友與他們的伴侶發生了爭執並向你求助，但你知道問題實際上是你好友的錯。你會怎麼做？,假設你因為工作繁忙而無法按時完成一個重要的個人承諾，你會如何處理這種情況？,你覺得你是身邊的人的開心果嗎？,當你遇到連續的壓力大的日子時，你通常會如何保持自己的心理和情緒穩定？,分享一下你最近探索的新事物。,你的性向,希望對象的年齡區間,想要對方是甚麼個性？ [E(外向型) / I(內向型)],想要對方是甚麼個性？ [S(實感型) / N(直覺型)],想要對方是甚麼個性？ [T(思考型) / F(情感型)],想要對方是甚麼個性？ [J(判斷型) / P(感知型)],如果總共有10分要分給忠誠度，責任感，幽默感，EQ，好奇心，你會怎麼分？ [忠誠度],如果總共有10分要分給忠誠度，責任感，幽默感，EQ，好奇心，你會怎麼分？ [責任感],如果總共有10分要分給忠誠度，責任感，幽默感，EQ，好奇心，你會怎麼分？ [幽默感],如果總共有10分要分給忠誠度，責任感，幽默感，EQ，好奇心，你會怎麼分？ [EQ],如果總共有10分要分給忠誠度，責任感，幽默感，EQ，好奇心，你會怎麼分？ [好奇心],暱稱,簡短自我介紹,聯絡信箱
2024/5/11 下午 4:41:55,生理男,18,ENFP,3~5次,罵我的朋友,翹掉,不是,去運動,沒有,我喜歡女生,22,右邊,左邊,左邊,右邊,10,0,0,0,0,hello,我是神秘人,12345@gmail.com
2024/5/11 下午 4:41:55,生理男,18,ENFP,3~5次,罵我的朋友,翹掉,不是,去運動,沒有,我喜歡女生,22,右邊,左邊,左邊,右邊,10,0,0,0,0,hello,我是神秘人,12345@gmail.com
2024/5/11 下午 4:41:55,生理男,18,ENFP,3~5次,罵我的朋友,翹掉,不是,去運動,沒有,我喜歡女生,22,右邊,左邊,左邊,右邊,10,0,0,0,0,hello,我是神秘人,12345@gmail.com
2024/5/11 下午 4:41:55,生理男,18,ENFP,3~5次,罵我的朋友,翹掉,不是,去運動,沒有,我喜歡女生,22,右邊,左邊,左邊,右邊,10,0,0,0,0,hello,我是神秘人,12345@gmail.com
2024/5/11 下午 4:41:55,生理男,18,ENFP,3~5次,罵我的朋友,翹掉,不是,去運動,沒有,我喜歡女生,22,右邊,左邊,左邊,右邊,10,0,0,0,0,hello,我是神秘人,12345@gmail.com
2024/5/11 下午 4:41:55,生理男,18,ENFP,3~5次,罵我的朋友,翹掉,不是,去運動,沒有,我喜歡女生,22,右邊,左邊,左邊,右邊,10,0,0,0,0,hello,我是神秘人,12345@gmail.com
2024/5/11 下午 4:41:55,生理男,18,ENFP,3~5次,罵我的朋友,翹掉,不是,去運動,沒有,我喜歡女生,22,右邊,左邊,左邊,右邊,10,0,0,0,0,hello,我是神秘人,12345@gmail.com
2024/5/11 下午 4:41:55,生理男,18,ENFP,3~5次,罵我的朋友,翹掉,不是,去運動,沒有,我喜歡女生,22,右邊,左邊,左邊,右邊,10,0,0,0,0,hello,我是神秘人,12345@gmail.com
2024/5/11 下午 4:41:55,生理男,18,ENFP,3~5次,罵我的朋友,翹掉,不是,去運動,沒有,我喜歡女生,22,右邊,左邊,左邊,右邊,10,0,0,0,0,hello,我是神秘人,12345@gmail.com
2024/5/11 下午 4:41:55,生理男,18,ENFP,3~5次,罵我的朋友,翹掉,不是,去運動,沒有,我喜歡女生,22,右邊,左邊,左邊,右邊,10,0,0,0,0,hello,我是神秘人,12345@gmail.com
